Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA,Weighted DVOA,Offense DVOA,Offense Weighted DVOA,Defense DVOA,Defense Weighted DVOA,Special Teams DVOA,Special Teams Weighted DVOA,OffenseDVOA,Offense WeightedDVOA,PassOffense,RushOffense,DefenseDVOA,Defense WeightedDVOA,PassDefense,RushDefense,Opponent Win %,Opponent Total DVOA,Opponent Weighted DVOA,Opponent Offense DVOA,Opponent Offense Weighted DVOA,Opponent Defense DVOA,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA,Opponent Offense WeightedDVOA,Opponent PassOffense,Opponent RushOffense,Opponent DefenseDVOA,Opponent Defense WeightedDVOA,Opponent PassDefense,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties,Cover?
2019 Week 14,TB,IND,38,35,Y,N,1.6,-3,0.416666667,-0.043,-0.031,-0.073,-0.08,-0.035,-0.048,-0.005,0.001,-0.073,-0.08,0.064,-0.144,-0.035,-0.048,0.126,-0.345,0.5,-0.039,-0.027,-0.013,-0.038,-0.008,-0.041,-0.034,-0.029,-0.013,-0.038,0.029,0.008,-0.8,-0.041,3.3,-0.072,5,7,,6,6,,No
2019 Week 14,CHI,DAL,31,24,Y,N,2.4,3,0.5,-0.041,-0.05,-0.111,-0.109,-0.056,-0.051,0.014,0.009,-0.111,-0.109,0.021,-0.207,-0.056,-0.051,0.012,-0.15,0.5,0.204,0.19,0.264,0.248,0.012,0.003,-0.048,-0.055,0.264,0.248,0.439,0.06,1.2,0.003,9.9,-0.112,6,6,,6,6,,Yes
2019 Week 14,NYG,PHI,17,23,N,N,3.8,8.5,0.166666667,-0.228,-0.246,-0.133,-0.158,0.102,0.097,0.007,0.009,-0.133,-0.158,-0.063,-0.19,0.102,0.097,0.301,-0.149,0.416666667,0.036,0.027,0.024,0.005,-0.023,-0.037,-0.01,-0.014,0.024,0.005,0.13,-0.047,-2.3,-0.037,7.7,-0.187,2,10,,5,7,,Yes
2019 Week 14,SEA,LAR,12,28,N,N,1.71,-2.5,0.833333333,0.194,0.208,0.215,0.206,-0.001,-0.022,-0.023,-0.02,0.215,0.206,0.535,-0.036,-0.001,-0.022,0.076,-0.14,0.583333333,0.042,0.024,-0.038,-0.069,-0.08,-0.094,0,-0.001,-0.038,-0.069,0.081,-0.057,-8,-0.094,1.5,-0.207,10,2,,7,5,,No
2019 Week 14,PIT,ARI,23,17,N,N,1.76,-2.5,0.583333333,-0.004,-0.009,-0.165,-0.208,-0.147,-0.176,0.015,0.023,-0.165,-0.208,-0.028,-0.216,-0.147,-0.176,-0.123,-0.177,0.272727273,-0.095,-0.069,0.009,0.03,0.095,0.093,-0.009,-0.006,0.009,0.03,0.015,0.084,9.5,0.093,24.3,-0.143,7,5,,3,8,1,Yes
2019 Week 14,KC,NE,23,16,N,N,2.3,3.5,0.666666667,0.256,0.254,0.229,0.209,-0.011,-0.02,0.015,0.025,0.229,0.209,0.481,-0.125,-0.011,-0.02,-0.039,0.026,0.833333333,0.378,0.329,0.055,0.032,-0.324,-0.292,-0.002,0.004,0.055,0.032,0.17,-0.035,-32.4,-0.292,-42.4,-0.173,8,4,,10,2,,Yes
2019 Week 14,TEN,OAK,42,21,N,N,1.64,-3,0.583333333,-0.023,0.006,0.028,0.07,0.022,0.038,-0.028,-0.026,0.028,0.07,0.248,-0.093,0.022,0.038,0.156,-0.187,0.5,-0.136,-0.17,0.041,0.023,0.147,0.155,-0.03,-0.038,0.041,0.023,0.214,-0.046,14.7,0.155,28,-0.051,7,5,,6,6,,Yes
2019 Week 14,LAC,JAX,45,10,N,N,1.66,-2.5,0.333333333,-0.104,-0.105,0.013,-0.001,0.071,0.047,-0.045,-0.057,0.013,-0.001,0.18,-0.14,0.071,0.047,0.165,-0.04,0.333333333,-0.164,-0.213,-0.095,-0.138,0.077,0.078,0.008,0.003,-0.095,-0.138,0.041,-0.195,7.7,0.078,10.4,0.042,4,8,,4,8,,Yes
2019 Week 14,CAR,ATL,20,40,N,N,2.1,2.5,0.416666667,-0.178,-0.239,-0.105,-0.126,0.048,0.077,-0.026,-0.036,-0.105,-0.126,-0.118,-0.001,0.048,0.077,-0.02,0.143,0.25,-0.129,-0.125,-0.041,-0.056,0.053,0.034,-0.035,-0.035,-0.041,-0.056,0.102,-0.197,5.3,0.034,20.3,-0.145,5,7,,3,9,,No
2019 Week 14,BAL,BUF,24,17,N,N,1.42,-6,0.833333333,0.408,0.468,0.3,0.333,-0.08,-0.116,0.029,0.019,0.3,0.333,0.521,0.202,-0.08,-0.116,-0.105,-0.039,0.75,0.037,0.064,-0.012,0.008,-0.062,-0.066,-0.013,-0.01,-0.012,0.008,0.128,-0.038,-6.2,-0.066,-7.5,-0.042,10,2,,9,3,,Yes
